Name,Class 10th Percentage (%),Class 12th Percentage (%),Mathematics-I [T],Applied Physics-I [T],Applied Chemistry [T],Communication Skills [T],Applied Physics-I [P],Applied Chemistry [P],Communication Skills [P],Engineering Graphics [P],Engineering Workshop Practice [P],Sports and Yoga [P],Semester-I (SGPA),Mathematics-II [T],Applied Physics-II [T],Introduction to IT Systems [T],Fundamentals of Electrical and Electronics Engineering [T],Engineering Mechanics [T],Applied Physics-II [P],Introduction to IT Systems [P],Fundamentals of Electrical and Electronics Engineering [P],Engineering Mechanics [P],Semester-II (SGPA),Computer Programming [T],Scripting Languages [T],Data Structures [T],Computer System Organisation [T],Algorithms [T],Computer Programming [P],Scripting Languages [P],Data Structures [P],Summer Internship-I,Semester-III (SGPA),Operating Systems [T],Introduction to DBMS [T],Computer Network [T],Software Engineering [T],Web Technologies [T],Operating Systems [P],Introduction to DBMS [P],Computer Networks [P],Web Technologies [P],Minor Project [P],Semester-IV (SGPA),E-Governance [T],IoT [T],Information Security [T],Advance Computer Network [T],Data Sciences [T],Renewable Energy [T],Summer Internship-II,Semester-V (SGPA),Entrepreneurship and Startup [T],Mobile Computing [T],Software Testing [T],Project Management [T],Artificial Intelligence [T],Mobile Computing [P],Software Testing [P],Major Project [P],Seminar,Semester-VI (SGPA),final_cgpa,Information Security [P]
Student_45,82.97,62.86,C,A+,C+,A,A,B,B,C,C,C,6.74,A,C,A+,C+,C+,C+,A+,B+,B+,7.43,C,B,B+,B+,B+,A,B,C+,B+,8.08,C+,A,B,B,C+,A+,C+,A+,B+,C,6.8,B,B,B,C+,B+,A,A+,8.3,C,C,B,A,B,A+,B,A+,B,7.1,,B+
Student_46,73.72,78.58,A,C+,C+,B,C,A,C+,B+,C+,A+,6.49,A+,A,A+,C+,B+,A,C,B+,C+,9.57,B,A,B+,B+,C+,A,C+,B+,B+,9.42,C,C+,C+,A,B,B,A,B,B+,B+,9.28,A+,A+,C+,C,C+,B,A,8.81,C,B,B,B+,B+,B+,C+,C+,B,7.56,,B+
Student_47,69.06,61.04,C,B+,A+,A+,C,B+,A,A,A,B,9.35,B,B+,C,B+,B+,C,C,A+,C,6.72,B+,C+,C+,B+,B+,A,C,A,C,6.12,B,A+,A,B,C+,C,C,B+,A+,C,8.05,A+,A,B,B,C+,C+,C+,7.89,B+,C+,C+,B,B,C,B+,B+,C+,7.76,,A+
Student_48,90.57,92.27,C,A,A+,C,B+,A,C,C,A+,B,7.79,B,B,A,B,C,A,A+,B,C+,6.3,C,A,A,B+,C+,C,C,B,B,9.62,B+,C+,A,A,C+,B,C,C+,C,A+,8.76,C+,B,A+,C+,A+,C,B,9.07,B,C+,B+,B,A,C,A,A+,C+,7.17,,B
Student_49,81.37,73.72,B+,C+,A+,A+,B+,B,B+,C,C+,B,8.36,A+,A+,A+,B,A,A+,C,B+,B,9.46,B,B,C,B+,B+,B+,B,C,C+,7.06,A+,C+,C,A,B,B+,A+,B+,B+,B,8.05,A+,A,C,C+,C,B+,C,6.54,B,C+,A+,B+,C+,A+,B,A,B+,8.09,,B+
Student_50,92.45,71.94,C,C,C,B+,A,C,B+,B+,C,B+,9.47,B,B+,A+,A+,B+,B,C,C,A+,6.39,C,C,C,C,B,B,C+,B+,C+,9.29,A+,B+,A+,A,B,C,B,C+,A+,A,9.52,A,B,A,A,B,C,A+,8.74,B,B+,B,C+,B+,A+,A,C,A+,7.27,,C
Student_51,84.65,84.17,B+,A,A,A,B,B+,A,A,B+,B,7.5,A,B,A,B,B,B,C,B,C,9.15,C,A,C,C+,B,B,B,C,B+,8.49,C,C+,B+,B,C+,A+,C,B,B,B,6.05,B,A+,B,B+,A,B,A,6.72,B+,A,A+,C+,C+,C,B,B,B,9.62,,B
Student_52,77.31,78.25,C,B,B,A+,A,A,C,B,A,C,9.63,A,A+,C+,C+,A,C,B,C,C+,6.93,B+,B+,B+,A+,A+,A+,C+,C,C,6.59,B,B+,B,A+,A,A,C+,B,B+,A+,6.54,A+,B,B,B+,A,A,A+,8.76,C+,A,B,C+,A+,B,A,C,C+,6.99,,C
Student_53,70.93,60.86,B,C+,B+,A,B,B+,A+,B+,B+,C+,8.2,C+,A,A,B,A+,C,C,A,B+,9.27,C+,C,B,C+,B,C+,C,B+,C+,9.69,B,A+,B+,A+,A+,B,A,C+,C+,C,9.48,A+,B,B+,A+,B+,C+,C+,9.67,C,A,B+,B,C,A+,C,A+,A+,7.84,,A
Student_54,81.6,93.71,C+,A+,C,C,A,C,C+,A,A+,B,9.68,C+,B+,B,B,C+,A,B,A+,A,8.12,C+,C,C+,A+,B,C,A,B,A+,8.91,C+,C+,B,C,C,C+,A,C,A,B+,7.02,C+,C,C,C+,C,A,C+,9.48,B+,B+,A+,C+,B,B,B,A+,A+,8.47,,A+
Student_55,63.8,84.47,A+,C,C,C,A+,C+,B+,A+,B,C,7.97,B+,B,C,B+,A+,C,B+,C+,A,7.73,B+,C+,B,A,C+,C+,B+,A+,A+,8.47,B,A,C,B+,B+,B+,A+,C,B+,B,6.41,C,C,B+,B+,C+,A+,A+,7.13,B,A,A,A+,B,A,A+,C+,C,7.28,,C+
Student_56,91.89,80.89,A,C,B,A+,A,C+,C+,A+,B,A+,6.25,C+,C,C+,A,B,A+,C,B+,A,7.22,C,A,C,A+,A+,C+,B,C+,A,8.29,A+,B+,C,A,C+,A+,B,B+,A+,C,6.77,C,B,B,B+,B+,A,B+,7.17,B,A,A,A,C,A,C+,C,B+,9.01,,B+
Student_57,91.43,64.58,B,A,C+,A,C,C,B,A+,B,B,8.43,A,C+,C+,C+,A+,C,B,C+,C,9.63,A+,C+,A+,C,B,C+,B+,A,A,6.59,A,B+,C,A,C,A,C+,A,A,C+,6.44,A+,C+,B+,B+,C,B+,B+,7.94,A,C+,C+,B+,C,C+,B,A+,A+,9.24,,C+
Student_58,86.68,66.22,A,B+,C,A,A,C+,B,A+,B+,B,6.29,A+,B,A+,B,C,A,B,A+,B,6.93,C,A,B,B+,A,C,B+,C+,B+,7.36,B,C,B,A+,A+,B,C,C,A,A,9.57,C,B,A+,A+,C+,B+,C,8.27,C+,C,A+,A,B,B+,C+,C,C+,7.22,,A+
Student_59,61.94,85.63,B+,C,C+,C+,B+,C,C,B+,A,A,8.68,C+,B+,A+,A+,B,C+,C,A,B,6.72,B+,A,A,C,C+,C+,B+,A+,B,7.28,B,B,B+,C+,A+,A,B+,C+,C+,A,8.46,A+,B+,C,A+,A+,A,C+,6.27,B,B+,C+,A+,A,A+,A,A,A+,6.43,,A
Student_60,91.57,95,A+,B+,B,B+,B+,B+,B,C+,B,C,6.99,A,A,C+,C+,A+,B,A+,C,A+,6.78,C,C,C+,C,A+,A+,A+,A,C,8.13,C,A+,A,B+,C+,A,B+,A,B+,C+,7.08,B,C,C,A,A+,A,A,9.54,A+,B+,A,B,A,B+,C,B+,C+,6.84,,C
Student_61,77.07,71.88,C,B+,A,C+,C,B,C+,B,A,A+,6.31,A+,A+,A+,C,C+,B+,C,C+,A+,6.49,A+,A+,B+,C,B+,B+,A,B+,B+,6.3,A+,B+,B+,A+,C,B,B+,A,A+,A,7.31,C+,B+,B+,C,A+,B+,A,6.74,B,A+,B,A,A,A,B,C+,B,6.7,,C+
Student_62,83.97,84,C+,C+,A,A+,C,B+,A+,A,A,A,8.39,C,C+,A+,B+,A,C+,C+,A,C+,6.02,A+,C+,C+,B,C,C,A+,C+,A,8.18,C+,B,C+,C,C,A+,B+,C+,C,C+,6.56,A+,C+,C,A,A+,C+,C,8.22,C+,B+,A+,B,A,B+,C+,A,A,8.92,,A
Student_63,87.64,93.22,C,A+,A,A,B+,C+,B+,A+,C+,C+,7.91,B+,B+,C,C,C,B+,B+,B,C+,8.31,C+,C+,B,A,A+,C,C,B,C+,9.52,B+,C+,B,B,C+,A,B+,A+,C+,B+,6.29,C+,C,C+,B,C,C+,C,7.9,A+,C+,B,C,A+,C,A,B+,A+,9.71,,B
Student_64,82.52,62.15,C,A+,B,B+,C+,B,B,B+,C+,B,9.38,C,A+,B+,C,A+,B,A,A,C+,9.46,C+,A,B+,B,A,C,A,B,A,9.77,B,C+,C+,C+,A,C+,C+,B,B+,B+,7.91,C,A,B+,C,C,C,B,8.29,C,B,B,B+,C+,B+,B,A+,A,8.08,,A
Student_65,62.63,81.64,A+,B+,B+,B+,C+,B+,B+,B,C+,B,7.48,B,A+,B,A+,A+,C,C+,A+,B,6.12,A,B+,C,B+,B,C,A,B,B,6.01,C+,A,C+,A+,C,B+,C,B,A+,B+,7.12,B,B+,A+,A+,B,C+,B+,7.29,C+,B,B,B+,C,A,C,A,A+,9.1,,A+
Student_66,63.24,68.12,A+,C+,A+,B,B,C+,B,B,A+,A,6.6,C,B+,C,B+,A,A+,B+,B,B,8.15,A+,B,C,C,A,B+,C,B+,C,6.25,C+,B+,B+,C,B+,A,A,B,A+,A,9.01,C,C,C+,B+,C,C+,A+,6.95,A,C,A+,B,B+,A+,C,B+,C+,6.65,,B
Student_67,62.06,72.04,B,B+,C,B,B+,C+,B+,A,A+,B,7.56,B,C,A+,B+,B,A,C+,B+,C,6.29,B+,A+,C,B,C+,A,C,B+,A+,7.35,B,C,A+,A+,B+,C,C,B+,C+,B,9.11,C+,A+,C,C+,A,B,B+,9.62,B+,A+,A+,A,B,C,B,C+,A,9.68,,B+
Student_68,75.72,93.19,C,C,A,B+,C+,B+,C,B+,A,A+,9.48,B,A,C+,C,A+,A,A,B,B,9.66,C,A+,C+,C,C,C+,B,B+,A+,8.66,C,C,A,A+,B+,B+,C,C+,A+,A,9.36,B,B+,A,C,B,B+,A+,7.04,A+,C+,A+,C+,B+,C+,C,A+,B,8.68,,B
Student_69,61.99,67.77,B+,C,C+,B+,B,B+,C,B+,B+,B,6.01,A+,A+,A,B,B+,B,B,A,A+,6.89,A+,B,B+,A+,B,C,A,B+,A,9.09,C+,B,A,A,A,A+,C+,A,A+,A+,7.76,A+,B,A,B,B+,A,A,9.08,A+,B,A,A,A,C,B+,A,B,8.85,,A
Student_70,90.6,75.06,C,B+,C,A+,B+,C,C,B,C+,A+,9.13,A+,A+,A+,C+,B,A,C,C,C+,9.21,A+,C+,C,A,C,C,C+,B,A+,9.72,B+,C+,A+,C+,B+,B+,C+,A,B,B,6.52,A,C+,B,C,C+,C+,A+,9.11,B,A+,B+,B,B,A,A+,A+,C,8.62,,C
Student_71,93.95,75.01,B+,B+,A,A+,C+,A+,B,C+,C,A+,8.28,B,C,B,B+,A+,B+,C,A+,B,8.12,C+,C,C+,B,B,C,A+,C,C,6.85,C+,B,A+,B,B+,A+,B+,B+,C,C+,6.36,C,C,C+,A+,C+,A+,B+,8.2,C,C,A,A+,B+,A+,C,C+,B,9.28,,A+
Student_72,79.96,81.99,A,A,C+,A,B,A+,B,C+,C,B+,9.2,B,C+,A+,B,C+,B,C,A+,C+,6.98,C,A,A+,B,A+,A,B,B,A+,6.32,A+,B,C+,A+,A+,A+,B+,B,A+,A+,7.54,B,B+,B,C+,C,A+,C,9.37,B,C,B,A+,A,A+,A,A+,C,8.01,,A+
